"id","alias","classification","name","sub_classification","attributes/id","attributes/alias","attributes/data_type","attributes/is_enabled","attributes/is_required","attributes/name","attributes/selection_text","attributes/regex"
"","","","","","__export__.urban_bridge_structure_element_attribute_47","areatotal","Float","True","True","Area Total","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_48","volumen","Float","True","True","Volumen","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_49","pendiente","Float","True","True","Pendiente","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_50","material","Selection","True","True","Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_51","defmaxima","Float","True","True","Deflexión Máxima","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_52","asenmax","Float","True","True","Asentamiento Maximo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_53","areasold","Float","True","True","Area Soldadura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_54","espesordissol","Float","True","True","Espesor Diseño Soldadura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_55","espdispint","Float","True","True","Espesor Diseño Pintura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_56","areagraf","Float","True","True","Area Grafica","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_57","pergraf","Float","True","True","Perímetro Gráfico","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_58","shape","Geographic Polygon","True","True","Shape","",""
"__export__.urban_bridge_structure_element_type_1","RIO","Main Element","Riostra","Structure Element","__export__.urban_bridge_structure_element_attribute_3","ancho","Float","True","True","Ancho","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_4","larg","Float","True","True","Largo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_5","alto","Float","True","True","Alto","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_6","espes","Selection","True","True","Espesor o Calibre","[('0','No hay dato'),('1','Zona 1'),('2','Zona 2'),('3','Zona 3'),('4','Zona 4'),('5','Zona 5'),('6','Zona 6')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_7","secc","Char","True","True","Seccion","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_8","ub","Char","True","True","Ubicacion","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_9","areatot","Float","True","True","Area Total","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_10","vol","Float","True","True","Volumen","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_11","tip","Selection","True","True","Tipo","[('L','Longitudinal'),('C','Cabezal')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_12","mat","Selection","True","True","Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_13","defmax","Float","True","True","Deflexión Máxima","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_14","areasoldis","Float","True","True","Area Soldadura Diseño","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_15","espdissol","Float","True","True","Espesor Diseño Soldadura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_16","espdispin","Float","True","True","Espesor Diseño Pintura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_17","shape","Geographic Line","True","True","Shape","",""
"__export__.urban_bridge_structure_element_type_33","RPT","Secondary Element","Rotula Plástica","Infrastructure","","","","","","","",""
"__export__.urban_bridge_structure_element_type_30","TNA","Secondary Element","Tensor de Anclaje","Foundation","","","","","","","",""
"__export__.urban_bridge_structure_element_type_9","TRP","Secondary Element","Terraplen de Acceso","Infrastructure","__export__.urban_bridge_structure_element_attribute_118","ancho","Float","True","True","Ancho","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_119","area","Float","True","True","Area Total","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_120","volumen","Float","True","True","Volumen","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_121","pos_accs","Char","True","True","Posicion Accesos","[('N','Norte'),('S','Sur')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_122","material","Selection","True","True","Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_123","asent_max","Float","True","True","Asentamiento Máximo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_124","long_elemt","Float","True","True","Longitud","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_125","shape","Geographic Polygon","True","True","Shape","",""
"__export__.urban_bridge_structure_element_type_35","TPN","Secondary Element","Topes Sismicos","Infrastructure","","","","","","","",""
"__export__.urban_bridge_structure_element_type_3","VIG","Main Element","Viga","Super Structure","__export__.urban_bridge_structure_element_attribute_32","anch","Float","True","True","Ancho","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_33","larg","Float","True","True","Largo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_34","alto","Float","True","True","Alto","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_35","areatot","Float","True","True","Area Total","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_36","vol","Float","True","True","Volumen","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_37","tipo","Selection","True","True","Tipo","[('L','Longitudinal'),('C','Cabezal')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_38","material","Selection","True","True","Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_39","defmaxima","Float","True","True","Deflexión Maxima","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_40","areadisol","Float","True","True","Area Diseño Soldadura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_41","espesor","Float","True","True","Espesor Diseño Soldadura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_42","espesor","Float","True","True","Espesor Diseño Pintura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_43","shape","Geographic Line","True","True","shape","",""
"__export__.urban_bridge_structure_element_type_2","VGT","Main Element","Vigueta","Infrastructure","__export__.urban_bridge_structure_element_attribute_18","anch","Float","True","True","Ancho","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_19","larg","Float","True","True","Largo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_20","calib","Selection","True","True","Espesor o Calibre","[('0','No hay dato'),('1','Zona 1'),('2','Zona 2'),('3','Zona 3'),('4','Zona 4'),('5','Zona 5'),('6','Zona 6')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_21","alto","Float","True","True","Alto","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_22","secc","Char","True","True","Seccion","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_23","areat","Float","True","True","Area Total","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_24","vol","Float","True","True","Volumen","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_25","type","Selection","True","True","Tipo","[('L','Longitudinal'),('C','Cabezal')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_26","mate","Selection","True","True","Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_27","defmax","Float","True","True","Deflexion Maxima","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_28","areadissol","Float","True","True","Area Soldadura Diseño","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_29","espdissol","Float","True","True","Espesor Diseño Soldadura","",""
